ˈwaɪz.li	wisely
ɪmˈped.ɪ.mənt	impediment
pəˈtɜː.nəl	paternal
ˈhæn.di	handy
ˌel.ɪˈmen.təl	elemental
ˈædvərtaɪzɪŋ	advertising
θɔːn	thorn
stəʊ	stow
ˈæk.ni	acne
moʊl	mole
ˈfɔːrmjələ	formula
ˈpeɪʃns	patience
əˈweɪ	away
det	debt
ˈɡæð.ər.ɪŋ	gathering
ˈfɜːr	fir
ˈəʊt.miːl	oatmeal
səˈpɑːs	surpass
ˈlɪm.bəʊ	limbo
ˈkʌmpəni	company
spɝː	spur
prəˈfesər	professor
ˈɑːtɪst	artist
juːst	used
ˈbæn.ər	banner
prəˈlɒŋ	prolong
ˈseprətli	separately
dɪn	din
spiːtʃ	speech
ˈplæt̬.ə.tuːd	platitude
əˈpres	oppress
ˈfɜː.taɪl	fertile
æbˈsteɪn	abstain
ˌmɪdˈsʌm.ər	midsummer
ˈhæn.səm	handsome
ˈreɪ.dɑːr	radar
ˈstæm.ər	stammer
ˈfæməli	family
ˌweərˈæz	whereas
ˈæŋkʃəs	anxious
əˈprəʊpriət	appropriate
duːk	duke
ˈbeɪ.lɪf	bailiff
ˈekstrə	extra
braɪb	bribe
ˈsniː.kɪŋ	sneaking
ˈlaɪ.nɪŋ	lining
ˈɪə.rə	era
kənˈtæm.ɪ.neɪt	contaminate
rɪˈspɑːnd	respond
əˈpærəntli	apparently
əˈpɑːl	appal
fɔːm	form
kɪk	kick
prɪˈvent	prevent
ɪˈtɜː.nɪ.ti	eternity
eɪs	ace
ˈɑː.lɪv	olive
ʌnˈtʃeɪndʒd	unchanged
ˈsɪn.juː	sinew
lʊk	look
rɪˈvʌl.ʃən	revulsion
ˈhæpɪli	happily
ˈentrəns	entrance
ˌʌnɪmˈplɔɪmənt	unemployment
ˈdɔː.mɪ.tər.i	dormitory
ˈiː.ɡəʊ.ɪ.zəm	egoism
ˈwɑː.loʊ	wallow
fɔːˈsiː	foresee
ˈlʌvər	lover
ˈɒk.ʌlt	occult
ˈsɜːrvənt	servant
ˈenvəloʊp	envelope
ˌsem.iˈkəʊ.lɒn	semicolon
verɪfɪˈkeɪʃn	verification
ˈeɪ.kər	acre
ˌprez.əˈveɪ.ʃən	preservation
dwɔːrf	dwarf
bɔːrn	born
dɪˈspær.ɪdʒ	disparage
tɒs	toss
ɪnˈvaɪ.tɪŋ	inviting
ˈɒp.ər.ə	opera
ˈmædʒɪk	magic
ˈperənt	parent
ʤiːn	jean
ˈɑːn.laɪn	online
ɪnˈtruːd	intrude
saɪ	sigh
ˌsɜː.kjʊˈleɪ.ʃən	circulation
ˈnəʊbədi	nobody
ˈbaɪ.əst	biased
nəˈses.ɪ.ti	necessity
prəˈtek.tər	protector
spɑːn	spawn
ˈses.ə.mi	sesame
səbˈsaɪd	subside
bɪˈhaɪnd	behind
ˈbʌtə(r)	butter
dɪˈlɪbərət	deliberate
ˈtaɪmteɪbl	timetable
ˈɒp.ʃən.əl	optional
ˈmem.ər.ə.bl̩	memorable
ɒd	odd
tʃest	chest
ʌnˈlɒk	unlock
droʊv	drove
ˈθɪri	theory
ˌkɒn.səˈleɪ.ʃən	consolation
ɔːlˈðoʊ	although
səʊ	so,sew,sow
sɪˈlekʃn	selection
ˈθɜːrəli	thoroughly
ˈsɪn.ə.mən	cinnamon
kɜːrl	curl
dɪˈsɪst	desist
ˈhjuːdʒ.li	hugely
ˈtraʊzərz	trousers
tɔːrdz	towards
drɔː(r)	drawer
ˈkæs.kɪt	casket
ˈkɑːntekst	context
drɪp	drip
ˈkjuː.pɪd	cupid
steɪ	stay
ˈred.ən	redden
ˈreɪ.di.ənt	radiant
bɔː(r)	bore
sləʊp	slope
ˈɡræd.ju.eɪ.tɪd	graduated
ˈdɪə.li	dearly
twɝːl	twirl
ˈbʌt.ə.flaɪ	butterfly
ˈkrɪm.zən	crimson
pɑːˈtɪʃ.ən	partition
ˈbeɪsɪkli	basically
blɑːt	blot
ˈmaɪnd.ləs	mindless,mindless
ˈhɑːrmləs	harmless
ˈprɒpəli	properly
ˈɡʌvərnər	governor
ˈdɪnər	dinner
ˈkuː.lər	cooler
ˈsɔːlti	salty
ˈven.ɪ.sən	venison
ˈbaɪ.ɡɒn	bygone
plæd	plaid
ˈkreɪzi	crazy
ɑːmd	armed
ədˈmaɪə(r)	admire
striːm	stream
ˈbeɪs.bɔːl	baseball
ˈmɪs.ti	misty
ˈkʌd.l̩	cuddle
ɪnˈfrɪndʒ.mənt	infringement
ˈdʊrɪŋ	during
ɪnˈsaɪt	incite
ɪnˈstrʌkt	instruct
stoʊv	stove
ˈkɜːrli	curly
dɪˈpraɪv	deprive
ˈhæn.dɪ.kæp	handicap
ˈmɪn.i	mini
rɪˈwɔːrd	reward
kwɪt	quit
ˈfæktri	factory
ɪmˈpəʊz	impose
ˈded.ɪ.keɪt	dedicate
ɪnˈsɜːrt	insert
wɪŋk	wink
ɪˈkwɪpt	equipped
haʊˈevə(r)	however
trænˈzæk.ʃən	transaction
ˈwaɪə.ləs	wireless
fəˈseɪk	forsake
ˈbrɪt.ɪʃ	British
ˌnɪəˈbaɪ	nearby
ˈkwɑːlɪfaɪ	qualify
ʃəd	should
ˈsoʊ.loʊ	solo
ˈfreɪm.wɜːk	framework
ˈmɪd.tɜːm	midterm
nɑːt	not,nought,knot
hɒlt	halt
sɔɪ	soy
ˈdek.ə.dəns	decadence
ˈɪr.ə	era
dʌm	dumb
ˈkɒm.paʊnd	compound
ˈruːɪnd	ruined
ˈʃɒpɪŋ	shopping
ˈoʊpnɪŋ	opening
stɝːn	stern
ler	lair
ˈaʊər	hour
ˈpɑː.tɪŋ	parting
ˈfɪl.θi	filthy
ˌʌn.dəˈlaɪn	underline
əˈpreɪz	appraise
ˈsaɪ.dər	cider
senˈseɪ.ʃən.əl	sensational
ˈhæm.stər	hamster
ˈvedʒtəbl	vegetable
dɪsˈɑːnɪst	dishonest
ˈɒr.ə.tər	orator
ˈbæŋ.kər	banker
ɪkˈstæt.ɪk	ecstatic
frɒθ	froth
əˈlaɪ.əns	alliance
ˈbɒðə(r)	bother
ˈfəʊtəʊ	photo
tɑːs	toss
ˈmædʒ.ə.sti	majesty
ˈpæʃ.ən.ət	passionate
ˈɒl.tə.neɪt	alternate
ˈtʃɪr.i	cheery
jɔːz	yours
ˈfɪʃɪŋ	fishing
ˈkɔː.lər	caller
fiːst	feast
ˈkɒb.lər	cobbler
kənˈkluːd	conclude
ˈɡʌvərnmənt	government
pəˈsjuː	pursue
liːs	lease
feɪnt	faint,feint
ˈdɪlɪdʒəns	diligence
smuːð	smooth
ɪnˈkred.ɪ.bl̩	incredible
ˈdiː.sən.si	decency
fɪəs	fierce
ˈfoʊl.dɚ	folder
ˈpɑːrti	party
wɒtʃ	watch
ˈfeə.ri	fairy
ˈkæθ.əl.ɪk	catholic
frɪsk	frisk
ʌnˈsɜːrtn	uncertain
kəmˈpetətɪv	competitive
bəʊθ	both
hiːv	heave
hjuːˈmɪl.i.eɪt	humiliate
ˈvɜː.sə.taɪl	versatile
ˈkɒl.ɪˌflaʊ.ər	cauliflower
ˈkwɔː.tə.bæk	quarterback
ˈblem.ɪʃ	blemish
əˈpɔːl	appal
ˈbʌbl	bubble
ɪnˈkrəʊtʃ	encroach
ˈbes.ti.əl	bestial
mæp	map
ˈdiː.kən	deacon
ˈfɔːr.dʒɚ.i	forgery
əˈwɔːrd	award
ˈkɑːr.t̬ɚ	carter
ˈkæn.dl̩	candle
frɒɡ	frog
ɪnˈkɜːrɪdʒmənt	encouragement
əbˈzɒlv	absolve
ˈæʃɪ	ashy
ˈmʌʃ.ruːm	mushroom
rɪˈlɪdʒən	religion
ˈpʌb.lɪ.ʃər	publisher
aɪˈdiːəl	ideal
ˈmentəli	mentally
vɪˈsɪn.ɪ.ti	vicinity
ʃrʌb	shrub
hæv	halve
rɪˈvɜːt	revert
əˈɡriː	agree
bɑːrn	barn
ˈʌʃ.ər	usher
ˈhɔː.ti	haughty
kɔːz	cause
ˈwiːkend	weekend
smæʃ	smash
ˈlætə(r)	latter
nɒtʃ	notch
ˈmær.ə.θən	marathon
dʒʌt	jut
ʌpˈset	upset
ˈpɒsəbli	possibly
ˈmʌsl	muscle
buːz	booze
ˈsəʊ.di.əm	sodium
ˈæɡ.rɪ.ɡət	aggregate
ˈkwaɪət	quiet
ɪnˈtaɪə(r)	entire
mɑːb	mob
ʃæk	shack
braʊ	brow
straɪp	stripe
lɔːst	lost
kənˈdʒest	congest
ɪmˈplɔɪ	employ
ˈraɪ.ət	riot
səˈsteɪn	sustain
ˈkʌt.lət	cutlet
ˈkʌntri	country
dɪˈskʌvər	discover
ˈræʃ.ən.əl.aɪz	rationalize
ˌhɒm.ɪˈsaɪ.dəl	homicidal
ˈθɔːt.ləs	thoughtless
skrætʃ	scratch
dɪˈsɔː.ri.ən.tɪd	disoriented
ˌoʊ.vɚˈhɪr	overhear
biːd	bead
ˈrɪv.ɪt	rivet
boʊst	boast
liˈeɪ.zɒn	liaison
ˈmɜː.dʒər	merger
ˈfoʊldɪŋ	folding
aɪ	I,eye
laɪk	like
ˈlæbrətɔːri	laboratory
ɔːˈdɪəl	ordeal
ˈtɜː.mɪ.neɪt	terminate
grætɪfɪˈkeɪʃn	gratification
əˈpɑːrtmənt	apartment
ˈmɑː.dʒuːl	module
ˈbækpæk	backpack
hɑːd	hard
ˈɑː.ster.ɪ.t̬i	austerity
miːk	meek
əˈdept	adept
ˈdʒʌstɪs	justice
ˌkɑːmpəˈtɪʃn	competition
ɑːrˈtɪstɪk	artistic
ˈdʌm.i	dummy
steɪk	stake,steak
ˈpætərn	pattern
fɪlm	film
ˈfreʃ.mən	freshman
mɪd	mid
ˈdʒʌdʒmənt	judgement
ˈher.ən	heron
stuːˈpɪd.ə.t̬i	stupidity
ˈpref.ər.ə.bli	preferably
rɪˈdɪkjələs	ridiculous
ˈsɪn.drəʊm	syndrome
pɑːn	pawn
klæŋ	clang
ˈpɑː.lər	parlour
kənˈkʌr.əns	concurrence
ˌdɪs.ɪnˈdʒen.ju.əs	disingenuous
hɑːl	haul
ˈer.es	heiress
ˌdɪs.bɪˈliːf	disbelief
dʒɜːm	germ
ɪmˈpɪə.ri.əl	imperial
ˈlæv.ə.tər.i	lavatory
ˈɔːfɪs	office
əˈweɪk	awake
ˈsɪn.ə.nɪm	synonym
kʌb	cub
ˈiːvn	even
ʃrɪmp	shrimp
ˈraɪ.fl̩	rifle
əˈbaʊnd	abound
mɑːr	mar
ˈraɪdɪŋ	riding
bleɪm	blame
ˈnʌr.ɪʃ	nourish
ɪmˈbɑːk	embark
ˈvɑː.lə.t̬əl	volatile
ˈbeɪ.sən	basin
ˈɡʌv.ən.əs	governess
huː	who
ˈɡɪd.i	giddy
ˈæp.tɪ.tjuːd	aptitude
ˈek.skə.veɪt	excavate
skeɪl	scale
ˈkraɪ.ɪŋ	crying
tætˈuː	tattoo
əˈprɒksɪmətli	approximately
fɑːrt	fart
ˈprɒf.ɪt	prophet
əˈten.dəns	attendance
ˈpʌblɪk	public
ˌsuː.pəˈfɪʃ.əl	superficial
sɒŋ	song
ˈləʊnli	lonely
ˈstʌmək	stomach
dɪˈleɪ	delay
ˈmiːdiəm	medium
bretθ	breadth
bækˈtɪriə	bacteria
hɪz	his
ˌɑːpərˈtuːnəti	opportunity
lɪft	lift
ˈerpɔːrt	airport
kəˈnek.tɪŋ	connecting
ˈbeə.rər	bearer
ˈsɪl.i.nəs	silliness
rɪˈkænt	recant
bɪˈtwiːn	between
ˈfaɪə.wɜːk	firework
ˈtæb.lɔɪd	tabloid
wuːp	whoop
ˌhæb.əˈdæʃ.ər.i	haberdashery
ˈhed.laɪt	headlight
təˈmeɪtoʊ	tomato
ˈpəʊɪm	poem
ɪnˈkaʊntər	encounter
ˈsev.ənθ	seventh
ˈklæs.i	classy
stuːl	stool
ˈtem.pər.əl	temporal
ˈneɪbər	neighbour
ˈpæs.ɪ.faɪ	pacify
fərˈseɪk	forsake
sjuːˈpɪəriə(r)	superior
səˈveɪ.ləns	surveillance
ɪnˈkrɪm.ɪ.neɪt	incriminate
ˈɡɜː.ɡl̩	gurgle
bɑːlk	balk
əˈfekt	affect
ˌhɪəˈbaɪ	hereby
ˈkrʌm.i	crummy
ɪˈleɪ.tɪd	elated
ɪɡˈzem.plɪ.faɪ	exemplify
feɪn	feign
ˈpleɪn.tɪf	plaintiff
ʃaʊt	shout
plæn	plan
ʃɪp	ship
dɪsˈɡʌstɪŋ	disgusting
ˈbæl.ənst	balanced
ˌəʊ.vəˈres.tɪ.meɪt	overestimate
ˈfær.ən.haɪt	Fahrenheit
fɜːrst	first
tɪnt	tint
ˈkæv.ɪ.ti	cavity
flɑːp	flop
ɡræm	gram
ˈdɪfɪkəlt	difficult
wɒʃ	wash
ˈtɔɪlət	toilet
bɪˈloʊ	below
ˈɒp.ər.eɪ.tər	operator
poʊk	poke
ˈsnæp.i	snappy
kraɪm	crime
ˈmɑː.ʃi	marshy
ˌəʊ.vəˈtɜːn	overturn
ˈfem.ɪ.nɪn	feminine
ˈdes.pɒt	despot
nɒb	knob
ɑːmˈnɪp.ə.t̬ənt	omnipotent
end	end
kəmˈper	compare
kəˈneə.ri	canary
slɒb	slob
brɒθ	broth
ˈbeɡ.ə.li	beggarly
prɑːm	prom
pɪt	pit
ˈliː.θəl	lethal
mjuːz	muse
ɪˈnæd.ɪ.kwət	inadequate
ˈoʊpən	open
daɪˈvɜːs	diverse,diverse
əˈʃʊə(r)	assure
ˈaʊt.lʊk	outlook
eksˈheɪl	exhale
ˈmɪs.l̩.təʊ	mistletoe
ˌdɪs.əˈvaʊ	disavow
ˈem.ɪ.nənt	eminent
ˈnaɪðər	neither
ˈvɜːrtɪkl	vertical
reɪd	raid
ˌriː.kənˈstrʌkt	reconstruct
ɪˈmɪt	emit
hɪndʒ	hinge
nʊk	nook
jet	yet
ˈɑː.dənt	ardent
baʊəl	bowel
ɡrænd	grand
dɪˈvɔːrs	divorce
plænt	plant
ˈeseɪ	essay
ˌrevəˈluːʃn	revolution
ʃed	shed
ˈswɑːloʊ	swallow
kraʊn	crown
tɜːn	turn
ˈɡlæs.i.ər	glacier
pɪˈdʒɑː.məz	pajamas
æpt	apt
ˈkeɪ.tər	cater
ˈtreɪ.lər	trailer
pleɪn	plane,plain
pəˈtɪkjələ(r)	particular
rɪˈsepʃn	reception
əˈbrɔːd	abroad
ˈvɜː.tju.əl	virtual
ˈɔːfər	offer
ɪnˈdʒɔɪəbl	enjoyable
həʊm	home
ˈɪn.dɪ.keɪ.tər	indicator
feɪl	fail
ˈmɑː.bl̩	marble
ˈpen.ɪ.treɪt	penetrate
plʌm	plum,plumb
ˈpiː.nəl	penal
ɡeɪn	gain
ˈkɑːnsəkwens	consequence
nɒd	nod
ˈtrɑːpɪkl	tropical
ˌʌnəkˈseptəbl	unacceptable
njuːz	news
əˈwaɪl	awhile
dɪˈstrækt	distract
ˌkred.əˈbɪl.ɪ.ti	credibility
ˈsaɪ.fər	cipher
ˈdɪt.əʊ	ditto
ˈstʌf.i	stuffy
əˈfləʊt	afloat
miːn	mean
ɪˈnek.sər.ə.bl̩	inexorable
ˈwʌndə(r)	wonder
ˈsməʊkɪŋ	smoking
kɑːrt	cart
ˈfel.ən	felon
kəʊn	cone
ɑːn	on
sɒlv	solve
ˈsuː.ɪ.saɪd	suicide
daɪˈdʒest	digest
dɪsˈdeɪn	disdain
ˈdɪfrənt	different
ˈɡʊd.nəs	goodness
paɪn	pine
dɪˈpɒzɪt	deposit
stuː	stew
ˌreɪ.di.əʊˈæk.tɪv	radioactive
spʌn	spun
wɔːk	walk
ˈɡlɔː.ri.əs	glorious
vɑːlˈkeɪ.noʊ	volcano
ˈhiː.tɪŋ	heating
ˈsen.sjʊəl	sensual
ɪmˈbɑː.ɡəʊ	embargo
daɪˈluːt	dilute
əˈtrækʃn	attraction
ˈpəʊ.tən.si	potency
ˌpɪr.iˈɑː.dɪk	periodic
ˈɪŋkriːs	increase
ˈpraɪməri	primary
ˈkæm.pəs	campus
fəˈbɪd	forbid
ˈklʌt.ər	clutter
səˈpoʊz	suppose
ˈkɑː.mɪt	comet
leər	lair
sɪɡˈnɪf.ɪ.kəns	significance
kroʊˈʃeɪ	crochet
ˈred.i.nəs	readiness
fɪr	fear
səˈspɪʃn	suspicion
ˈblæd.ər	bladder
ˈiː.tər	eater
ˈflɒr.ɪst	florist
trɪp	trip
klɪŋ	cling
ədˌmɪn.ɪˈstreɪ.ʃən	administration
ˌvɪz.ɪˈteɪ.ʃən	visitation
ˌɑːtɪˈfɪʃl	artificial
ˈɡreɪ.vi	gravy
poʊtʃ	poach
ˌriːˈprɪnt	reprint
rɪˈmɪt.əns	remittance
rɪŋ	ring,wring
əˈpreɪ.zəl	appraisal
əˈkɪn	akin
ɪnˈtaɪəli	entirely
əbˈsɔːrb	absorb
ɡəʊst	ghost
noʊn	known
ˈbʊk.ɪŋ	booking
ˈfrɪv.əl.əs	frivolous
ˈpæt.rə.nɪdʒ	patronage
ˈæktʃuəli	actually
ˈsləʊli	slowly
sʌk	suck
næt	gnat
ˈkɑːm.pə.t̬ənt	competent
ˈtʌk.ər	tucker
ɪɡˈzækt	exact
ˈmaɪnər	minor
ˈwɪk.ɪd	wicked
dɪˈtɜːrmɪn	determine
əˈpren.tɪs	apprentice
ˈmeɪ.hem	mayhem
ˈʌd.ər	udder
dɪˈskwaɪət	disquiet
əˈtræktɪv	attractive
dræŋk	drank
ˈdiːteɪld	detailed
ˈmeɪ.ə.neɪz	mayonnaise
dɪˈskreʃ.ən	discretion
ˌʌl.tɪˈmeɪ.təm	ultimatum
ˈven.tɪ.leɪ.tər	ventilator
ˈelɪveɪtər	elevator
prer	prayer
ˈdʒænjuəri	January
kəʊˈɪn.sɪ.dənt	coincident
snɪtʃ	snitch
rɪˈlent.ləs	relentless
dɔːb	daub
əˈleɪ	allay
ˌdiː.kəmˈpəʊz	decompose
peɪnt	paint
ˈpraɪvət	private
ˈwɔː.drəʊb	wardrobe
ɪkˈspɪəriəns	experience
ˈtrɪp.l̩	triple
ˈbæɡɪdʒ	baggage
əˈmjuːz	amuse
ˈsɪk.l̩	sickle
rəʊd	road
haɪˈpɒθ.ə.sɪs	hypothesis
ˌwaɪdˈspred	widespread
æmˈbæs.ə.dər	ambassador
ˌʌn.dəˈsteɪt.mənt	understatement
ˈsʌnˌɡlæs.ɪz	sunglasses
ɪnˈfɔːrml	informal
ˈbæθruːm	bathroom
bæŋ	bang
ˈsɪzərz	scissors
ˌkɑːnsnˈtreɪʃn	concentration
ˌsuː.pəˈvɪʒ.ən	supervision
ˈher.ɪ.tɪdʒ	heritage
səbˈdjuː	subdue
kɪŋ	king
ˌdɪs.əˈbɪl.ɪ.ti	disability
ˈhʌs.l̩	hustle
lʌntʃ	lunch
dʒɒb	job
pəˈmɪʃn	permission
ˈbɪskɪt	biscuit
dɪˈvɔːrst	divorced
prəˈməʊʃn	promotion
ˈsʌbstəns	substance,substance
toʊld	told
əˈlaɪn.mənt	alignment
snɑːl	snarl
luːt	loot
ɪˈstæblɪʃ	establish
təˈmɒrəʊ	tomorrow
sleɪv	slave
dʒuː	Jew
ɪˈnjuː.mər.ə.bl̩	innumerable
ðeə(r)	there,their
mɑːrtʃ	march,March
ˈhæbɪt	habit
ˈpɑːtli	partly
sɒlt	salt
stɪŋk	stink
wʊd	would,wood
ˈplæs.ɪd	placid
frʌsˈtreɪ.ʃən	frustration
ˈɡɒdˌmʌð.ər	godmother
kəˈmɪt.ɪd	committed
dɪsˈmɪs	dismiss
kəˈmɑːnd	command
ˈdwel.ɪŋ	dwelling
deɪz	daze
rɪˈzentmənt	resentment
dɪˈfens	defence
ˈprɒmɪs	promise
piˈænoʊ	piano
kɪt	kit
ˈhænd.bæɡ	handbag
hɒp	hop
ˈθæŋk.fəl	thankful
əkˈsep.təns	acceptance
ˈdeə.rɪŋ	daring
ˈdʒuːniə(r)	junior
ˈkerləs	careless
ˈmærɪdʒ	marriage
driːm	dream
freʃ	fresh
ˈsloʊli	slowly
ˌkærəktəˈrɪstɪk	characteristic
ðeəz	theirs
ˈæd.ə.mənt	adamant
men	men
ˈɡræn.ər.i	granary
ˈdʒenjuɪnli	genuinely
ˈdeɪn.ti	dainty
ˈres.l̩	wrestle
əˈnɔɪ	annoy
ˈret̬.ən.uː	retinue
kɑːr	car
prəˈsiːdʒər	procedure
ˈbɑːrɡən	bargain
ˈmeʒərmənt	measurement
ˈlʌk.ʃər.i	luxury
slɑːt	slot
ˈɔːθə(r)	author
ʃɔːl	shawl
ˈɑːrtɪkl	article
ˈrɑː.skəl	rascal
ɪmˈpɑː.sə.bl̩	impassable
ˈvæl.i.ənt	valiant
duːm	doom
ˈkærəktər	character
ˈlɪn.ɪn	linen
fəˈtɑːɡrəfi	photography
eɪk	ache
ˈrəʊz.bʌd	rosebud
pəˈlɪtɪkli	politically
dʒɑːb	job
dræft	draft,draught
ˈɡlæm.ər	glamour
ɪkˈskɜː.ʃən	excursion
prəˈvɪʒ.ən	provision
dɪˈpɑːtmənt	department
ˈtʃəʊ.zən	chosen
ˈdraɪv.weɪ	driveway
ˈmɒn.ə.stri	monastery
wɔːp	warp
skuːt	scoot
klæs	class
ˈɡlʌt.ən	glutton
prɔːn	prawn
ɪˈnækt	enact
rɪˈfrɪdʒəreɪtər	refrigerator
ˈoʊ.vɚ.li	overly
kweɪnt	quaint
kəˈlek.tər	collector
pəˈliːsmən	policeman
ˈæbsənt	absent
riːp	reap
klʌb	club
ˈbiː.tən	beaten
bɜːrnt	burnt
pæt	pat
fraʊn	frown
prəˈpraɪə.tər.i	proprietary
ˈæk.ə.leɪd	accolade
dɔːr	door
ˈnaɪ.lɒn	nylon
ˈnoʊ.t̬ɚ.i	notary
ˈreɡjələ(r)	regular
prəˈməʊt	promote
ʌnˈlʌki	unlucky
ˌmʌl.tiˈkʌl.tʃər.əl	multicultural
ˈrʊk.i	rookie
bɪˈləʊ	below
eɪ	a
iːt	eat
ʃeəd	shared
ˌkɒnvəˈseɪʃn	conversation
ˈnɪk.neɪm	nickname
ˌhoʊ.moʊˈsek.ʃu.əl	homosexual
ˈdiː.vi.eɪt	deviate
ˈsæŋk.tʃʊə.ri	sanctuary
tɑːp	top
ˈefət	effort
ˈpeɪ.pə.wɜːk	paperwork
ˈbreɪ.slət	bracelet
ˈkæm.ə.flɑːʒ	camouflage
keɪn	cane
ˈeə.ri	airy
ɪˈkwɒl.ɪ.ti	equality
kɔːst	cost
dʒʌŋk	junk
ˈdɪsəplɪn	discipline
kɜːst	cursed
ˈpɑː.pi	poppy
dɪˈspleɪs	displace
pʌlp	pulp
ˈmɪrə(r)	mirror
bləʊt	bloat
sɪŋk	sink
njʊəˈrɒt.ɪk	neurotic
ˈaŋɡrɪli	angrily
ˌnɪrˈbaɪ	nearby
ˈdɪskaʊnt	discount
mjuːl	mule
ˈɡlɪt.ər	glitter
ˈpɑːrtli	partly
meɪz	maze
slɪt	slit
ˈdiː.vi.əs	devious
ðəʊ	though
dʌŋ	dung
nɜːrs	nurse
ˈɡær.ɪ.sən	garrison
ˈhænd.kʌf	handcuff
hɔːnt	haunt
sʌlk	sulk
ɪkˈsploʊd	explode
ˈnəʊ.zi	nosy
ˈstɪər.ɔɪd	steroid
slæʃ	slash
ˈædʒ.ɪ.teɪt	agitate
ˈwɒr.ənt	warrant
ˈfɒl.i	folly
ˈpʌblɪʃ	publish
reɪˈʒiːm	regime
ˌdɪs.rɪˈspekt	disrespect
əˈpoʊnənt	opponent
ˈbæŋ.kɪŋ	banking
ˈlɒn.ʒər.i	lingerie
əˈtend	attend
spel	spell
ˌpɑːləˈtɪʃn	politician
ˈtes.tɪ.faɪ	testify
raɪp	ripe
əˈsent	assent
ˈterəbl	terrible
ˈfebruəri	February
vəˈnɪl.ə	vanilla
ɡrɔɪn	groin
bɑːn	barn
kɔːn	corn
dɪˈzɑː.strəs	disastrous
ˈsæt.aɪər	satire
əˈsenʃn	ascension
kræʃ	crash
ˈnoʊwer	nowhere
ˈmɪrər	mirror
ˈpɪk.ʌp	pickup
ˈswɪm.suːt	swimsuit
klentʃ	clench
ˈæŋɡri	angry
ɪl	ill
ɪnˈtɒk.sɪ.keɪt	intoxicate
haɪv	hive
bɑːsk	bask
ˈneɡətɪv	negative
kweɪk	quake
ˈbed.rɪ.dən	bedridden
ˈlektʃə(r)	lecture
ˈʌvn	oven
ˈmuː.di	moody
ˈbɑː.nɪt	bonnet
ˈpɔːt.li	portly
ˌmæɡəˈziːn	magazine
skriːn	screen
ˈlæn.dɪŋ	landing
ˈpɒlɪʃ	polish
ˈpɔː.tər	porter
ˈdɪn.ə.sti	dynasty
stoʊ	stow
ˈneɪbə(r)	neighbour
ˈnɜː.sər.i	nursery
ˈpeə.rən.tɪŋ	parenting
əˌsæs.ɪˈneɪ.ʃən	assassination
ˌdek.ləˈreɪ.ʃən	declaration
ˈsəʊ.ʃəl.i	socially
ˌmɔː.zəˈliː.əm	mausoleum
əˈkleɪm	acclaim
ˈflɪm.zi	flimsy
tɑːt	taught,tart
brɪdʒ	bridge
ˈeɡ.zaɪl	exile
ˈfjuːtʃər	future
əkˈseptəbl	acceptable
dəʊ	dough
əbˈskjʊər	obscure
ˈkæn.və.sər	canvass
ˌrez.ərˈek.ʃən	resurrection
ˈæn.ti.rʊm	anteroom
ˈðerfɔːr	therefore
ˈkaʊ.ɚd	coward
ˈθɜːsti	thirsty
ɡroʊθ	growth
bæn	ban
ˈreɪ.lɪŋ	railing
ˈfɔːrtʃən	fortune
ɪˈventʃuəli	eventually
ˈsepəreɪtɪd	separated
ˈmaɪ.lɪdʒ	mileage
ˈwɜːri	worry
ˈrelətɪvli	relatively
ɪmˈbæŋk.mənt	embankment
ɪnˈdʒekt	inject
ˈstʌt̬.ɚ	stutter
æbˈhɔːr	abhor
lɑːdʒ	large,lodge
kəˈmɑːn.dər	commander
ˈɪn.tɪ.ɡrəl	integral
klaʊd	cloud
kənˌsɪdəˈreɪʃn	consideration
ˈkɑːntækt	contact
beɪ	bay
drɑːn	drawn
baʊns	bounce
ˈfloʊ.t̬ɪŋ	floating
roʊst	roast
kəmˈpiːt	compete
ɝːb	herb
frentʃ	French
ˈskruː.pjʊ.ləs	scrupulous
əˈfen.dər	offender
ˈslɔː.tər	slaughter
ˈmɪlətri	military
baʊnd	bound
əˈtʃiːv	achieve
ɪnˈtɜːrnl	internal
swɑːn	swan
ˈfræɡ.mənt	fragment
ˈbʌr.ə	borough
mʌm	mum
pɒmp	pomp
skɑːf	scarf
ˈjɪə.li	yearly
ˈkrɪs.ən.ɪŋ	christening
ˈsoʊɪŋ	sewing
skwɒd	squad
ˈtʃælɪndʒ	challenge
ˈniː.di	needy
dɪˈstrʌst	distrust
rɪˈsɪp.rə.kəl	reciprocal
ˈfeɪljər	failure
rɔː	raw
dʒem	gem
mɑːst	mast
ˈsɜːrtn	certain
ˈhəʊl.dɪŋ	holding
prəˈkjʊər	procure
ˈzen.ɪθ	zenith
weɪdʒ	wage
əˈrɪdʒənəli	originally
ˈnjuː.mə.rəl	numeral
ˈtrɪb.juːt	tribute
flɜːˈteɪ.ʃəs	flirtatious
ˈkwestʃən	question
ɪnˈtɜːnl	internal
ˈsɪzəz	scissors
ˈprɒv.ɜːb	proverb
ˈflɔː.rəl	floral
ˈhəʊp.fəl.i	hopefully
ˈskæt.ər	scatter
bɪˈɡɪn.ər	beginner
ˈpeɪv.mənt	pavement
ɪkˈstensɪv	extensive
æbˈʤekʃn	abjection
ˈleɪt.li	lately
ˌækəˈdemɪk	academic
ˈdʒɒk.i	jockey
ˈplaɪ.wʊd	plywood
ˌəʊ.vəˈsliːp	oversleep
